Kv (Motor Velocity Constant),135 RPM/V
Kt (Motor Torque Constant),0.0707 Nm/A
Km (Motor Constant),0.2104 Nm/√(W)
Maximum Continuous Current*,38 A (180 s)
Maximum Continuous Power*,2145 W (180 s)
Voltage Range,22.2 V (6S LiPo) - 52.2 V (12S LiHV)
Io (@10V),0.4 A
Rm (Wind Resistance),0.113 Ω
Stator Poles,"24 (24S28P, HE)"
Magnetic Poles,"28 (24S28P, HE)"
Bearings,"Triple, 6900-2RS/6000-2RS"
Mount Pattern,"M4 xф35 mm, M5/M4 xф40 mm"
Stator Class,"7208, 0.2 mm Japanese"
Shaft Diameter,ф10 mm (ф10 mm Internal)
Shaft Length,9.5 mm
Motor Diameter,ф80 mm
Motor Rotor Inertia,1.242 kg*cm^2
Motor Length,42.5 mm
Motor Weight,380 g (445 g with Wires/Bullets)
Propeller Blade Size,"Up to30.5""-DP(24.5""-DPMaximum on 12S)"
Motor Advance Timing,22° - 30°
Motor Drive Frequency,16 - 32 kHz
