Kv (Motor Velocity Constant),220 RPM/V
Kt (Motor Torque Constant),0.0434 Nm/A
Km (Motor Constant),0.1554 Nm/√(W)
Maximum Continuous Current*,44 A (180 s)
Maximum Continuous Power*,1955 W (180 s)
Voltage Range,22.2 V (6S LiPo) - 52.2 V (12S LiHV)
Io (@10V),0.5 A
Rm (Wind Resistance),0.078 Ω
Stator Poles,"24 (24S28P, HE)"
Magnetic Poles,"28 (24S28P, HE)"
Bearings,"Triple, 698-2RS/608-2RS"
Mount Pattern,"M4/3 xф30 mm, M5 xф40 mm"
Stator Class,"5215, 0.2 mm Japanese"
Shaft Diameter,ф4 mm (ф8 mm Internal)
Shaft Length,5.5 mm
Motor Diameter,ф60 mm
Motor Rotor Inertia,0.632 kg*cm^2
Motor Length,41 mm
Motor Weight,305 g (360 g with Wires/Bullets)
Propeller Blade Size,"Up to21.5""-TP(21.5""-DPMaximum on 12S)"
Motor Advance Timing,22° - 30°
Motor Drive Frequency,16 - 32 kHz
