Kv (Motor Velocity Constant),775 RPM/V
Kt (Motor Torque Constant),0.0123 Nm/A
Km (Motor Constant),0.0469 Nm/√(W)
Maximum Continuous Current*,36 A (180 s)
Maximum Continuous Power*,535 W (180 s)
Voltage Range,11.1 V (3S LiPo) - 21.8 V (5S LiHV)
Io (@10V),0.5 A
Rm (Wind Resistance),0.069 Ω
Stator Poles,12 (12S14P)
Magnetic Poles,14 (12S14P)
Bearings,"Triple, 684ZZ, 624ZZ"
Mount Pattern,"M3 xф25 mm, M3/2.5 xф19 mm"
Stator Class,"2814, 0.2 mm Japanese"
Shaft Diameter,ф4 mm (ф4 mm Internal)
Shaft Length,5.5 mm
Motor Diameter,ф35.5 mm
Motor Rotor Inertia,0.093 kg*cm^2
Motor Length,31.7 mm
Motor Weight,95 g (125 g with Wires/Bullets)
Propeller Blade Size,"Up to15.5""-DP(12.5""-TPMaximum on 4S)"
Motor Advance Timing,22° - 30°
Motor Drive Frequency,16 - 32 kHz
