Kv (Motor Velocity Constant),715 RPM/V
Kt (Motor Torque Constant),0.0134 Nm/A
Km (Motor Constant),0.0575 Nm/√(W)
Maximum Continuous Current*,45 A (180 s)
Maximum Continuous Power*,665 W (180 s)
Voltage Range,11.1 V (3S LiPo) - 21.8 V (5S LiHV)
Io (@10V),0.5 A
Rm (Wind Resistance),0.054 Ω
Stator Poles,12 (12S14P)
Magnetic Poles,14 (12S14P)
Bearings,"Triple, MR105ZZ, 625ZZ"
Mount Pattern,"M4/3 xф25 mm, M3/2.5 xф32 mm"
Stator Class,"3510, 0.2 mm Japanese"
Shaft Diameter,ф4 mm (ф5 mm Internal)
Shaft Length,5.5 mm
Motor Diameter,ф42.2 mm
Motor Rotor Inertia,0.139 kg*cm^2
Motor Length,35 mm
Motor Weight,120 g (175 g with Wires/Bullets)
Propeller Blade Size,"Up to15.5""-TP(15.5""-DPMaximum on 4S)"
Motor Advance Timing,22° - 30°
Motor Drive Frequency,16 - 32 kHz
